ID,Name,City,State,Address,Postal Code,Website URL,Email,Phone,Summary,Organization Type,Reach,Audience Focus,Climate Categories,Original Climate Categories,Action Category,Original Action Category,Verified,Source,Last Updated
00054885-3c60-4fe9-9d55-eec3d9e9ca9b,La Habra Heights Climate Action Committee,La Habra Heights,CA,12345 E. Whittier Blvd,90631,http://www.lhhclimateaction.org,unknown,unknown,The La Habra Heights Climate Action Committee focuses on local climate initiatives and community resilience programs.,Nonprofit / Grassroots,Town / City,['Residents'],['Unknown'],[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
00074dea-028e-482b-a489-3afdf032fc5f,Greenfield Community College - Environmental Science Program,Greenfield,MA,1 College Drive,01301,https://gcc.mass.edu,unknown,(413) 775-1000,The Environmental Science Program at GCC includes coursework and projects focused on climate change and sustainability.,Academic,Regional,"['Businesses', 'Municipality', 'Residents']","['Environmental', 'Energy Efficiency']",[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
0037bd6b-6828-4816-b98a-22b0ff2e9d84,Fall River Environmental Justice Initiative,Fall River,MA,321 Justice Blvd,02720,http://fallriverjustice.org,unknown,unknown,Addressing climate impacts on vulnerable communities in Fall River.,Nonprofit / Grassroots,Town / City,['Residents'],['Environmental'],[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
00619477-a9e8-4e23-91be-d7e139a4afb5,Palo Alto Green Energy,Palo Alto,CA,250 Hamilton Avenue,94301,https://www.cityofpaloalto.org/gov/depts/pwd/greenenergy.asp,unknown,unknown,Palo Alto Green Energy provides renewable energy options and promotes energy efficiency as part of the city's climate action efforts.,Nonprofit / Grassroots,Town / City,"['Municipality', 'Residents']",['Energy Efficiency'],[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
009adb78-0b75-4d77-b857-b2499670215b,Green Fullerton,Fullerton,CA,"Fullerton, CA",92832,http://www.greenfullerton.org,unknown,unknown,Green Fullerton is focused on sustainability and climate action initiatives in the community.,Nonprofit / Grassroots,unknown,['unknown'],['Unknown'],[],Unknown,,Not Verified,merge_engine,2026-05-25T03:12:12Z
00f6a27a-2353-43ad-9f4c-45cbebc9e7e6,Fresno County Climate Action Collaborative,Fowler,CA,"Fresno, CA",93721,https://www.fresnocountyca.gov/departments/public-health/climate-action-collaborative,unknown,unknown,Fresno County Climate Action Collaborative focuses on climate action and resilience initiatives in the region.,Municipal / Government-affiliated,Regional,"['Businesses', 'Municipality', 'Residents']",['Environmental'],[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
012c1ea2-0354-4130-b84a-e3626d0572f5,Folsom City Council,Folsom,CA,"50 Natoma Street, Folsom, CA 95630",95630,https://www.folsom.ca.us/city_hall/city_council/climate_action_plan,unknown,unknown,The Folsom City Council has developed a Climate Action Plan to reduce greenhouse gas emissions and promote sustainability.,Municipal / Government-affiliated,Town / City,"['Municipality', 'Residents']",['Environmental'],[],Policy,,Not Verified,merge_engine,2026-05-25T03:12:12Z
012fed1e-eb66-41d3-bc13-c649f5f17996,Central Coast Community Energy (3CE),San Luis Obispo,CA,1026 Palm Street,93401,https://3cenergy.org/,SouthSupport@3CE.org,1-877-455-2223,"Central Coast Community Energy (3CE) is dedicated to providing clean, renewable energy to communities while reducing greenhouse gas emissions. They offer various programs and incentives to support energy efficiency and transportation electrification.",Nonprofit / Grassroots,Regional,"['Businesses', 'Municipality', 'Residents']","['Energy Efficiency', 'Transportation']",[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
01471169-e579-4057-b98e-864ff801bbe3,Bedford Energy Committee,Bedford,MA,"Bedford, MA",01730,https://www.bedfordma.gov/energy-committee,unknown,unknown,The Bedford Energy Committee works on energy efficiency and renewable energy initiatives to reduce carbon emissions in the community.,Municipal / Government-affiliated,Town / City,"['Municipality', 'Residents']",['Energy Efficiency'],[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
01621b3b-798c-4d20-bcde-879b909daf35,Worcester Climate Action Network,Oakham,MA,"Worcester, MA",01609,https://www.worcesterclimateaction.org/,unknown,unknown,Worcester Climate Action Network focuses on local climate action initiatives and advocacy for sustainable practices.,Nonprofit / Grassroots,Town / City,['Residents'],['Unknown'],[],Community Engagement,,Not Verified,merge_engine,2026-05-25T03:12:12Z
