id,name,website_url,email,phone,address,city,state,postal_code,latitude,longitude,category,source,verified
1,400Trees Gloucester,,,,,,,,,,,,False
2,AVIS,,,,,,,,,,,,
3,Alliance for Climate Education,https://www.aceaction.org,unknown,unknown,1000 Broadway,Danversport,MA,94612,,,,,
4,Alliance for Climate Education (ACE),https://www.acespace.org,unknown,unknown,1330 Broadway,Riverview,MA,94612,,,,,
5,Andover Green Advisory Board,,,,,,,,,,,,True
6,Arizona Coalition for Change,https://www.azcoalitionforchange.org,unknown,unknown,123 N 1st Ave,Maple Park,MA,85007,,,,,
7,Arizona Conservation Coalition,https://www.azconservationcoalition.org,unknown,unknown,456 S 5th Ave,Maple Park,MA,85004,,,,,
8,Arizona Sustainability Alliance,https://www.azsustainabilityalliance.org,unknown,unknown,200 W Washington St,Maple Park,MA,85004,,,,,
9,Boston Climate Action Coalition,https://www.bostonclimateactioncoalition.org,unknown,unknown,789 Coalition Blvd,Merrimac,MA,02118,,,,,
10,Boston Climate Action Network,https://www.boston.gov/departments/environment,digital@boston.gov,617-635-3850,26 Court Street,Boston,MA,02108,,,,,
11,Boston Climate Action Office,https://www.boston.gov/departments/environment,digital@boston.gov,617-635-3850,26 Court Street,Boston,MA,02108,,,,,
12,Boston Public Health Commission,https://www.bphc.org,communications@bphc.org,617-534-5395,1010 Massachusetts Avenue,Boston,MA,02118,,,,,
13,Boston Sustainability Office,https://www.boston.gov/departments/sustainability,unknown,unknown,1 City Hall Square,Wenham,MA,02108,,,,,
14,Boston University Sustainability Office,https://www.bu.edu/sustainability/,sustainability@bu.edu,unknown,120 Ashford Street,Boston,MA,02215,,,,,
15,California Climate Action Network,https://www.calcan.org/,unknown,unknown,1000 I St,Wenham Neck,MA,95814,,,,,
16,Cape Ann Climate Coalition,https://capeannclimatecoalition.org/,,,"Gloucester, Rockport, Manchester & Essex, MA",Glouchester,MA,,,,,,True
17,Change is Simple,https://changeissimple.org,info@changeissimple.org,(978) 344-2155,100 Cummings Ctr,Beverly,MA,01915,,,,,
18,Change the World Kids,https://changetheworldkids.org,unknown,unknown,PO Box 123,Knights Crossing,MA,05401,,,,,
19,ChargePoint,Chargepoint.com,,,Hudson MA,Hudson,MA,,,,,,True
20,Chicago Climate Action Plan,https://www.chicago.gov/city/en/depts/dcd/supp_info/chicago_climate_action_plan.html,unknown,unknown,121 N LaSalle St,Riverside,MA,60602,,,,,
21,Citizens' Climate Lobby,https://citizensclimatelobby.org,unknown,unknown,1010 University Ave,Upper Green,MA,92101,,,,,
22,"City of Boston Office of Environment, Energy, and Open Space",https://www.boston.gov/departments/environment,digital@boston.gov,617-635-3850,26 Court Street,Boston,MA,02108,,,,,
23,City of Seattle Office of Sustainability & Environment,https://www.seattle.gov/sustainability,unknown,unknown,700 5th Ave,Riverview,MA,98104,,,,,
24,Climate Action Network,https://climatenetwork.org,administration@climatenetwork.org,unknown,unknown,Ward Hill,MA,20009,,,,,
25,Climate Action Now,https://www.climateactionnowma.org,unknown,unknown,123 Main St,Wenham,MA,01002,,,,,
